5000
6,94,-63,-41,20,5,-61,83,-14,-50,
36,30,32,51,96,-72,99,23,-59,-23,
35,-58,-11,-80,23,96,78,66,-57,-80,
-12,25,60,33,63,-39,-14,90,100,-63,
-51,103,-31,99,-64,76,7,-86,-36,59,
-52,-42,-93,23,-68,-51,-17,-52,73,96,
17,-91,49,-41,43,42,-48,83,82,12,
-4,-56,-37,-41,97,82,-70,12,-92,-93,
62,77,88,-82,-16,57,32,-22,45,-4,
18,83,32,-27,43,41,-25,59,-42,20,
-94,58,3,3,-70,-14,35,30,-92,-66,
15,-90,-60,-70,-44,47,-9,-3,-11,-66,
-95,-90,63,-72,36,33,73,-43,10,29,
68,-6,-50,55,90,56,4,-61,50,-15,
-7,15,-3,-70,-9,43,-55,43,-13,-49,
38,67,-13,21,35,8,-94,-73,99,-16,
-25,53,-45,-73,1,12,18,60,45,20,
27,-38,51,-19,87,-31,30,-14,-71,-94,
1,58,-14,-52,-81,104,28,-14,89,98,
75,7,-24,-29,74,58,-1,25,6,16,
-63,82,78,-17,56,25,60,61,-85,85,
-17,-18,-91,6,87,-75,77,1,40,64,
-9,-71,-53,-17,41,13,14,16,-65,21,
28,44,-58,81,9,-41,-91,-32,43,-38,
16,94,-40,62,-43,11,-24,25,-38,-91,
62,94,21,-68,94,51,16,85,97,-63,
8,-42,-22,-87,-90,-18,30,25,99,69,
-9,89,-57,-91,-84,-76,-53,36,54,100,
38,102,13,-62,79,-21,25,104,-86,-83,
32,41,28,75,68,13,-60,-84,-83,-82,
22,88,3,-88,-88,-61,-15,-70,61,69,
-87,37,18,-83,-70,72,100,-5,-80,-3,
-88,49,11,46,68,-11,92,-14,89,-16,
27,19,-53,-4,89,-12,-28,-81,-95,73,
-62,43,22,3,-6,-18,6,46,39,86,
27,13,-2,81,61,42,-33,44,-72,2,
-67,-92,-41,24,30,-66,-6,54,73,-17,
-7,71,6,14,57,-50,25,93,75,-9,
-79,-67,102,-22,66,-44,44,10,86,-90,
95,83,-25,-56,68,90,-17,29,62,-34,
-8,-26,-32,-90,57,-22,84,-34,-28,-51,
-48,-20,-79,22,-93,25,65,-86,-94,-6,
-93,31,-40,83,102,26,27,7,-16,50,
-42,89,101,20,30,46,80,-49,-14,77,
-20,-73,20,32,-85,-64,-47,8,-1,71,
-20,-81,92,-76,-4,-87,102,-17,39,36,
51,-76,35,-69,-8,-57,-20,44,-66,90,
-51,97,15,-84,69,-27,63,83,90,-33,
-34,75,-66,65,-20,-71,86,18,14,-16,
100,-5,48,92,-46,41,-52,-66,3,77,
78,66,-7,-65,46,-7,-19,-59,55,92,
-42,39,64,-13,-29,-15,-55,6,79,104,
-54,48,-87,-15,-38,-75,-47,-61,66,63,
85,71,-49,89,-49,-60,83,-42,70,-52,
