50000
100,-93,-13,-35,-47,20,43,-74,-84,-20,
-73,-11,68,15,-48,-36,-43,-42,62,97,
85,81,82,70,71,9,-37,97,-41,81,
7,69,-51,57,-8,34,23,12,11,-95,
-86,12,-42,100,14,33,27,59,-16,-57,
95,81,-89,-79,33,21,-24,-75,83,-67,
105,-3,-52,-67,68,-68,-91,-69,34,49,
-37,-34,-92,20,-6,82,86,-15,38,54,
-26,53,74,-60,21,27,1,43,-22,-70,
-24,24,-3,-94,95,-24,-87,72,63,63,
-36,-47,81,85,35,6,-8,-18,19,43,
74,98,95,-80,68,-49,-47,-1,99,-72,
-7,-70,-69,96,-85,-94,45,69,77,16,
-53,-85,-76,36,-78,57,-34,79,-33,90,
22,-48,-26,14,6,-15,-90,34,-66,-23,
74,-56,-54,-75,-81,-36,-86,89,38,98,
52,77,76,-56,-61,-44,0,-32,-80,-7,
-91,-11,35,41,-32,-66,-65,-12,-29,-32,
-2,14,13,25,-76,66,35,-93,-6,90,
-82,-86,39,-36,85,-82,-8,22,16,-86,
-55,-71,-62,58,29,93,-31,-17,20,-78,
-15,54,-48,-87,103,19,-38,-29,-19,93,
-66,70,-46,-54,6,52,77,101,-85,-52,
-60,-31,30,-71,-77,22,-41,61,-82,8,
86,28,-74,29,-13,100,29,-17,100,81,
6,54,-32,-37,-94,55,-6,-91,25,93,
-72,57,-60,7,85,-15,-62,-44,-31,33,
-24,-37,82,44,-73,29,-52,-44,36,-74,
69,72,88,17,-90,-34,-54,45,81,67,
20,-82,28,-68,-37,-29,-47,-25,-23,-71,
40,50,-33,-63,-36,101,61,3,45,-5,
31,4,46,-83,-22,73,-64,82,25,14,
-13,45,-32,-34,29,-75,-34,-7,92,43,
-82,-87,96,-28,73,42,31,74,-41,-25,
21,95,-58,-34,46,-7,81,8,6,-92,
91,-32,-67,22,-54,-24,57,-91,-3,-38,
86,38,-73,-73,-44,-3,-25,-59,-94,-24,
88,-41,-35,-26,-80,48,-33,44,-4,-22,
-54,81,-43,74,-48,-42,-7,77,80,81,
-75,-54,22,1,-69,44,-64,24,48,32,
-31,8,75,-76,-24,-79,-3,-82,92,-11,
100,34,-24,-32,19,-32,44,-31,-33,78,
-90,17,22,60,-89,96,-80,38,100,70,
1,80,44,60,83,2,85,-23,-8,68,
26,-16,-11,98,83,4,25,-86,-10,-47,
39,3,32,-24,-9,-12,-42,0,-85,86,
-33,-60,-25,98,-68,50,30,-43,8,-42,
63,63,104,-66,-39,-9,52,91,92,9,
7,53,47,84,104,56,50,-49,84,-67,
-22,-80,58,-60,82,81,-6,-68,69,96,
-26,-58,-82,35,27,49,-43,105,-57,32,
-24,41,57,-8,91,-5,87,-5,59,-76,
96,-52,73,25,102,45,0,-13,-18,-63,
-88,34,-20,-8,68,25,-38,58,-57,-67,
18,28,-12,-4,6,35,-17,-57,44,26,
104,-87,-90,66,-21,95,88,-84,16,-30,
-70,74,0,-94,-88,-62,-70,-21,92,68,
-49,42,-82,17,-35,17,35,20,-48,6,
-25,-18,-74,67,22,58,51,-71,-31,-33,
-82,63,80,75,-69,28,-93,5,-11,-6,
7,74,-36,103,92,66,83,7,96,27,
-14,-79,-91,51,3,54,28,83,35,-15,
10,79,-59,-94,71,-1,-65,18,-31,92,
-3,11,-48,-80,53,-39,76,13,-69,93,
23,100,34,-77,41,-24,77,75,-4,-27,
-74,-20,-5,-31,-43,-65,-30,71,-5,-48,
35,102,34,-39,-77,-90,-34,-34,15,-41,
27,-75,88,23,59,34,-73,-85,-61,-62,
88,-33,80,-60,78,6,-79,8,-42,-14,
26,-20,88,-77,10,-41,16,66,-40,-52,
45,7,-15,40,13,-59,-67,0,-79,-60,
59,-23,31,99,-20,103,83,78,-40,90,
63,58,94,-8,-76,50,22,-51,20,42,
94,40,-80,59,-67,67,26,32,-14,81,
64,-7,63,20,38,31,43,70,64,-93,
-79,-12,-60,11,95,-73,-34,73,-40,-2,
63,79,-38,-42,90,51,-17,-18,-28,31,
11,88,26,92,68,10,-21,-61,87,2,
97,19,-38,-74,-87,35,79,-59,-71,0,
